,,,Turnout Rate,,,Vote in Party Contest,,,
April 22,Pennsylvania,Primary,34.0%,"9,360,067","9,683,978","2,354,005","829,129",,"3,183,134"
May 6,Indiana,Primary,37.3%,"4,623,736","4,792,223","1,278,355","412,684",,"1,725,951"
,North Carolina,Primary,32.8%,"6,488,268","6,957,520","1,580,726","517,583",,"2,125,215"
May 13,Nebraska (d),Rep. Primary,20.5%,"1,270,460","1,336,555","94,535","136,648",152,"260,150"
,West Virginia,Dem. Primary,32.5%,"1,408,281","1,428,326","456,282",,,"457,382"
May 20,Kentucky,Primary,29.2%,"3,156,075","3,267,951","701,768","197,793",,"922,456"
,Oregon,Primary,43.2%,"2,711,305","2,927,075","641,499","353,476",,"1,170,526"
May 27,Idaho (e),Rep. Primary,17.7%,"1,033,390","1,114,053","42,802","168,372",,"182,627"
June 3,Montana,Primary,38.7%,"737,733","747,985","273,793","95,730",,"285,215"
,New Mexico,Rep. Primary,19.3%,"1,371,818","1,492,570",,"110,939",,"264,238"
,South Dakota,Primary,28.4%,"593,121","605,821","97,797","60,964",,"168,340"
